# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-fonts_synthetic-bold-out-of-capabilities-range_html | self-pass | 0.00% | 0.25% |
| css_css-fonts_synthetic-bold-space-width_html | POLLUTED | 0.00% | 2.05% |
| css_css-fonts_synthetic-oblique-out-of-capabilities-range_html | self-pass | 0.00% | 0.26% |
| css_css-fonts_system-ui-mixed_html | self-fail | 1.76% | 1.66% |
| css_css-fonts_test-synthetic-italic-2_html | self-fail | 2.34% | 6.21% |
| css_css-fonts_test-synthetic-italic-3_html | self-fail | 0.94% | 6.23% |
| css_css-fonts_variation-sequences_html | self-pass | 0.00% | 0.00% |
| css_css-fonts_web-font-no-longer-accessible-when-stylesheet-removed_html | self-pass | 0.13% | 0.99% |
| css_css-multicol_abspos-after-spanner-static-pos_html | self-fail | 2.29% | 3.06% |
| css_css-multicol_abspos-after-spanner_html | self-pass | 0.00% | 0.83% |
| css_css-multicol_abspos-autopos-contained-by-viewport-000_html | self-fail | 1.67% | 2.49% |
| css_css-multicol_abspos-autopos-contained-by-viewport-001_html | self-fail | 0.83% | 1.65% |
| css_css-multicol_abspos-containing-block-outside-spanner_html | self-fail | 5.23% | 5.37% |
| css_css-multicol_abspos-multicol-in-second-outer-clipped_html | self-fail | 0.52% | 1.35% |
| css_css-multicol_always-balancing-before-column-span_html | self-fail | 3.12% | 3.94% |
| css_css-multicol_ancestor-toggle-spanner-001_html | self-fail | 1.25% | 2.05% |
| css_css-multicol_ancestor-toggle-spanner-002_html | self-fail | 2.08% | 2.90% |
| css_css-multicol_as-column-flex-item_html | self-fail | 2.94% | 3.76% |
| css_css-multicol_auto-fill-auto-size-001-print_html | self-pass | 0.00% | 0.25% |
| css_css-multicol_auto-fill-auto-size-002-print_html | self-pass | 0.00% | 0.21% |
| css_css-multicol_balance-break-avoidance-000_html | self-pass | 0.00% | 0.83% |
| css_css-multicol_balance-break-avoidance-001_html | self-pass | 0.00% | 0.83% |
| css_css-multicol_balance-break-avoidance-002_html | self-fail | 1.04% | 1.72% |
| css_css-multicol_balance-grid-container_html | POLLUTED | 0.17% | 1.76% |
| css_css-multicol_balance-orphans-widows-000_html | self-pass | 0.00% | 0.83% |
| css_css-multicol_baseline-000_html | POLLUTED | 0.14% | 1.13% |
| css_css-multicol_baseline-001_html | self-fail | 0.52% | 1.10% |
| css_css-multicol_baseline-002_html | self-pass | 0.00% | 0.59% |
| css_css-multicol_baseline-003_html | POLLUTED | 0.12% | 1.12% |
