# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_CSS2_backgrounds_background-position-017_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-018_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-028_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-029_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-030_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-040_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-041_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-042_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-052_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-053_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-054_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-064_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-065_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-066_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-076_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-077_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-078_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-088_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-089_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-090_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-100_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-101_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-102_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-109_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-110_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-111_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-112_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-113_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-114_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-115_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-116_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-117_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-118_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-119_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-120_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-121_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-122_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-123_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-124_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-125_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-126_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-127_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-128_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-129_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-130_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-131_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-132_xht | self-pass | 0.00% | 0.46% |
